item_id,item_name,category_id,price,stock_quantity,is_available
270,Chocolate (Large),60,90.00,100,1
271,Butter Scotch (Small),60,60.00,30,1
272,Butter Scotch (Large),60,90.00,100,1
273,Strawberry (Small),60,50.00,100,1
274,Strawberry (Large),60,70.00,100,1
275,Vannila (Small),60,50.00,100,1
276,Vannila (Large),60,70.00,100,1
277,Pista (Small),60,50.00,100,1
278,Pista (Large),60,70.00,100,1
279,Pista / Mango (Small),60,50.00,100,1
280,Pista / Mango (Large),60,70.00,100,1
281,Strawberry / Mango (Small),60,50.00,100,1
282,Strawberry / Mango (Large),60,70.00,100,1
283,Choco Mango (Small),53,50.00,100,1
284,Choco Mango (Large),53,70.00,100,1
285,Casatta Slice,60,45.00,100,1
286,Pepsi,53,70.00,100,1
